County,County Value**,Error Margin
Jim Hogg,45%,40-49%
Jim Wells,43%,34-51%
Johnson,42%,36-47%
Jones,43%,34-51%
Karnes,41%,32-50%
Kaufman,38%,31-45%
Kendall,33%,25-41%
Kenedy,47%,42-53%
Kent,35%,27-43%
Kerr,35%,28-43%
Kimble,38%,30-46%
King,41%,36-46%
Kinney,42%,33-50%
Kleberg,42%,33-50%
Knox,40%,34-46%
La Salle,44%,41-48%
Lamar,39%,30-46%
Lamb,42%,34-51%
Lampasas,38%,31-46%
Lavaca,38%,30-46%
Lee,39%,31-47%
Leon,38%,30-46%
Liberty,40%,32-48%
Limestone,40%,32-49%
Lipscomb,38%,34-42%
Live Oak,41%,33-49%
Llano,39%,30-47%
Loving,33%,25-41%
Lubbock,36%,32-41%
Lynn,41%,32-49%
Madison,40%,32-49%
Marion,41%,37-45%
Martin,39%,31-48%
Mason,36%,28-45%
Matagorda,41%,33-50%
Maverick,45%,36-54%
McCulloch,39%,31-48%
McLennan,39%,32-46%
McMullen,43%,35-51%
Medina,40%,33-48%
Menard,38%,34-43%
Midland,38%,31-46%
Milam,38%,30-46%
Mills,35%,27-43%
Mitchell,41%,33-50%
Montague,37%,29-46%
Montgomery,35%,31-40%
Moore,39%,31-47%
Morris,41%,32-50%
Motley,37%,32-41%
Nacogdoches,41%,33-49%
Navarro,42%,34-51%
Newton,42%,34-51%
Nolan,42%,33-50%
Nueces,44%,39-49%
Ochiltree,39%,34-44%
Oldham,37%,29-45%
Orange,42%,35-48%
Palo Pinto,37%,29-45%
Panola,38%,30-47%
Parker,37%,32-42%
Parmer,40%,32-49%
Pecos,42%,34-51%
Polk,40%,36-45%
Potter,39%,31-47%
Presidio,44%,35-53%
Rains,38%,30-46%
Randall,34%,27-41%
Reagan,39%,31-49%
Real,41%,33-50%
Red River,40%,31-48%
Reeves,43%,34-52%
Refugio,41%,32-49%
Roberts,36%,28-45%
Robertson,38%,30-46%
Rockwall,35%,28-42%
Runnels,38%,30-47%
Rusk,40%,32-48%
Sabine,39%,30-47%
San Augustine,43%,34-52%
San Jacinto,38%,30-47%
San Patricio,43%,36-51%
San Saba,39%,31-48%
Schleicher,40%,35-44%
Scurry,39%,31-48%
Shackelford,38%,30-47%
Shelby,41%,33-51%
Sherman,38%,30-47%
Smith,40%,33-47%
Somervell,33%,26-41%
Starr,48%,39-56%
Stephens,39%,31-47%
Sterling,37%,33-41%
Stonewall,39%,34-43%
Sutton,42%,33-50%
Swisher,43%,34-53%
Tarrant,38%,34-42%
Taylor,37%,29-44%
Terrell,36%,28-45%
Terry,43%,34-52%
Throckmorton,38%,34-42%
Titus,40%,32-49%
Tom Green,38%,30-46%
Travis,29%,26-33%
Trinity,39%,31-48%
Tyler,40%,32-49%
Upshur,41%,32-49%
Upton,42%,38-46%
Uvalde,42%,33-50%
Val Verde,42%,34-51%
Van Zandt,36%,28-44%
Victoria,39%,32-48%
Walker,42%,34-51%
Waller,42%,34-50%
Ward,41%,33-49%
Washington,37%,29-46%
Webb,42%,34-50%
Wharton,41%,33-50%
Wheeler,40%,32-49%
Wichita,39%,31-47%
Wilbarger,41%,34-49%
Willacy,49%,45-52%
Williamson,30%,25-34%
Wilson,42%,34-50%
Winkler,40%,36-43%
Wise,40%,34-47%
Wood,36%,28-44%
Yoakum,41%,33-50%
Young,39%,31-48%
Zapata,46%,37-55%
Zavala,48%,39-57%
